id,name_zh,area,sub_district_zh,address_zh,details
68,智文藥房,新界,荃灣,荃灣綠楊坊,$50一盒炒到$228一盒
69,智文藥房,新界,荃灣,荃灣綠楊新村商場,228元一盒術科口罩
70,匯港大藥房,新界,荃灣,荃灣沙咀道260-276號廣發大廈地下,將垃圾無用強國製嘅「救救」口罩炒賣到120蚊50個
71,智文,新界,荃灣,荃灣眾安街39號荃運樓地下,二百幾蚊盒口罩
72,東北葵社區關注組,新界,葵涌,葵涌,"在群組售賣日本小林製藥口罩十盒，每盒標價為HK$50（三個)，聲稱為居民提供低於市價發售。此三個裝每盒售價為Hk$30（Dondondonki售價), https://imgur.com/w4MrKgK https://imgur.com/uXEU4WZ"
73,港城中西大藥房,新界,葵涌,葵芳盛芳街15號地下地下3號舖,1. 附近幾間講明因為巿道問題先會有劣質貨品都要用仍然惡意中傷兼抬高價格一成 2. 口罩變黃 有蟲爬出黎 吾知擺左幾多年先拎出黎賣 都要賣貴 無四層就話四層 趁火打劫
74,創世藥房,新界,葵涌,葵芳,葵芳新開角落嗰個位，高價賣假口罩！！媽媽已買好多盒
75,港城藥房,新界,葵涌,葵芳,同款口罩賣三個價錢 亂開價
76,太安樓藥房,香港島,西灣河,西灣河 筲箕灣道57-87號 太安樓地下,貴價$90賣
77,新城藥房,九龍,觀塘,觀塘秀茂坪商場1樓104-105號舖,23/1/2020 售賣口罩$100/盒
78,誠興中西藥房,香港島,銅鑼灣,銅鑼灣利園山道,M95 $580盒 酒精搓手液$170支
79,伯樂大藥坊,香港島,銅鑼灣,銅鑼灣怡和街,2020年1月24號 N95 賣500蚊 20個
80,時代大藥房,香港島,銅鑼灣,銅鑼灣波斯富街83號地下波斯富大厦Q铺,$250／1盒50個
81,銀河中西大藥房,香港島,銅鑼灣,銅鑼灣駱克道503 號地下,普通口罩最高$350一盒
82,龍城藥粧,香港島,銅鑼灣,東角道,"N95 售$55一個，R95 $44一個, 一般成人口罩$58@10個，計返即$290@50個。$48@8個，即$300@50個。"
83,環球大藥坊,香港島,銅鑼灣,東角道,價位最高，普通口罩每盒$388
84,永利大藥房,香港島,銅鑼灣,香港銅鑼灣駱克道529號地下,$388 一盒口罩
85,誠信藥行,九龍,長沙灣,長沙灣保安道,開天殺價，不老實
86,德華藥房&德華Kids Play,九龍,長沙灣,長沙灣青山道333號華懋333廣場,$198 得50個
87,偉華藥房,九龍,長沙灣,長沙灣青山道296號地下,賣假口罩有異味有污漬
88,富明藥房,九龍,長沙灣,長沙灣青山道308 號地下,賣假口罩及禮貌態度惡劣
89,康健西藥房,九龍,長沙灣,長沙灣道244號地下,賣假口罩 胡亂開貨 不肯退貨 態度惡劣
90,誠信藥行,九龍,長沙灣,長沙灣保安道,遊客與本地客價錢不同，胡亂開價錢，很過份
91,民生藥行,九龍,長沙灣,長沙灣順寧道,離譜到極致，獅子開大口一盒口罩368元
92,康健西藥房並沒有炒賣,九龍,長沙灣,長沙灣道244號,康健西藥房並沒有炒賣 有圖片為證 賣35到55 口罩 fb 有紀錄為認證 不要殺錯良民
93,富裕中西藥房有限公司,香港島,灣仔,香港灣仔灣仔道59-63號地下B舖,"買A貨”救救mask”,本身買$70一盒，隔日就買$110一盒"
94,嘉華中西藥行,新界,馬鞍山,馬鞍山頌安商場SH102舖,
95,黃埔家居用品,九龍,黃埔,黃埔新天地奇妙坊G6A地下,七個口罩賣$48
